account_id,date,tag_environment,cost_amount,currency
131471595343,2025-09-10,Environment$,0.0,USD
131471595343,2025-09-12,Environment$,1e-10,USD
131471595343,2025-10-01,Environment$,0.0,USD
131471595343,2025-10-20,Environment$,5e-10,USD
131471595343,2025-10-21,Environment$,-1.8e-09,USD
131471595343,2025-10-22,Environment$,-4.2e-09,USD
131471595343,2025-10-23,Environment$,-4.3e-09,USD
131471595343,2025-10-24,Environment$,-4.4e-09,USD
131471595343,2025-10-25,Environment$,-3.2e-09,USD
131471595343,2025-10-26,Environment$,-3.4e-09,USD
131471595343,2025-10-27,Environment$,-4.9e-09,USD
131471595343,2025-10-28,Environment$,-4.6e-09,USD
131471595343,2025-10-29,Environment$,-4.3e-09,USD
131471595343,2025-10-30,Environment$,-4.9e-09,USD
131471595343,2025-10-31,Environment$,-4.3e-09,USD
131471595343,2025-11-01,Environment$,-1.14e-08,USD
131471595343,2025-11-02,Environment$,-1.2e-08,USD
131471595343,2025-11-03,Environment$,-1.16e-08,USD
131471595343,2025-11-04,Environment$,-1.17e-08,USD
131471595343,2025-11-05,Environment$,-1.21e-08,USD
131471595343,2025-11-06,Environment$,-1.18e-08,USD
131471595343,2025-11-07,Environment$,-1.19e-08,USD
131471595343,2025-11-08,Environment$,-1.12e-08,USD
131471595343,2025-11-09,Environment$,-1.19e-08,USD
131471595343,2025-11-10,Environment$,-1.17e-08,USD
131471595343,2025-11-11,Environment$,-1.16e-08,USD
131471595343,2025-11-12,Environment$,-1.13e-08,USD
131471595343,2025-11-13,Environment$,-1.16e-08,USD
131471595343,2025-11-14,Environment$,-1.17e-08,USD
131471595343,2025-11-15,Environment$,-1.24e-08,USD
131471595343,2025-11-16,Environment$,-1.2e-08,USD
131471595343,2025-11-17,Environment$,-1.17e-08,USD
131471595343,2025-11-18,Environment$,-1.2e-08,USD
131471595343,2025-11-19,Environment$,-1.16e-08,USD
131471595343,2025-11-20,Environment$,-1.11e-08,USD
131471595343,2025-11-21,Environment$,-1.1e-08,USD
131471595343,2025-11-22,Environment$,-1.13e-08,USD
131471595343,2025-11-23,Environment$,-1.15e-08,USD
131471595343,2025-11-24,Environment$,-1.15e-08,USD
131471595343,2025-11-25,Environment$,-1.17e-08,USD
