region_name,endpoint
ap-south-1,opt-in-not-required
eu-north-1,opt-in-not-required
eu-west-3,opt-in-not-required
eu-west-2,opt-in-not-required
eu-west-1,opt-in-not-required
ap-northeast-3,opt-in-not-required
ap-northeast-2,opt-in-not-required
ap-northeast-1,opt-in-not-required
ca-central-1,opt-in-not-required
sa-east-1,opt-in-not-required
ap-southeast-1,opt-in-not-required
ap-southeast-2,opt-in-not-required
eu-central-1,opt-in-not-required
us-east-1,opt-in-not-required
us-east-2,opt-in-not-required
us-west-1,opt-in-not-required
us-west-2,opt-in-not-required
